method,problem,x0,x_final,f_final,grad_norm_final,iterations,func_calls,grad_calls,hess_calls,converged,status,memory,skipped_updates,restarts,experiment,n,condition_number
lbfgs,lbfgs_memory_quadratic,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5855574987, -0.8951592843, 1.195068539, 0.08541088084, 0.008026487336, 0.8597055208, -0.1547880817, -1.401654712, -0.802204556, -0.5895523057, -0.6495533497, 1.972087441, 0.9325587278, -0.7063350239, 0.1505565217, 1.404608884, 0.06095672672, -0.07027277844, 1.614128553, -1.155863714, -1.281998497, 0.4217105252, -0.6421788033, -0.5173918172, -1.059600457, 1.130585381, 2.262569462, 0.8229362167, 1.341156741, -0.2230073625, -0.5197257135, 0.3908220676, 1.864214989, 0.9392623375, -0.8524590446, 2.521019311, -0.5590944593, -0.5068912039, 0.7858092585, 2.372399525, -0.7467808211, -0.9400752041, 1.913895204, -1.403688389, 0.08605043117, -1.230532277, 0.7097064413, 0.9210610879, -0.1776200875, 0.519028429, 1.43388976, 0.7449567331, -0.7767775927, 0.2791107837, -0.4575929397, 0.129351038, -0.8574055493, -0.3726577249, 1.100628993, -0.0844773642, 1.216062044, 1.139707476, -0.7371329075, 1.090113526, -0.471095199, -0.4154578279, 0.4254054796, -0.6478204277, 1.665006205, -0.2953010598, -0.57466645, 1.788268005, 0.5014763054, 0.432511771, -0.1037368513, -0.3846543169, -0.116072603, -1.48690489, 0.6446569918, 0.2679772934, -0.3719497795, -0.9276416156, -0.9048395769, 1.686629013, -0.1322391334, 0.3620956796, -0.2791975369, 0.9892848643, 0.07008121438, -1.146925018, -0.8488883356, 0.1653235793, 0.6318660555, -2.195841845, 0.2772825356, 1.601766945, -1.949631708, 0.6549198163, -0.212411098, -0.2889361791]",-7751.271793951177,1.5995793040564846e-05,4000,316284,8293,0,False,max_iter_reached,3,3729,0,lbfgs_memory,100,1000
lbfgs,lbfgs_memory_quadratic,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.585557617, -0.8951596794, 1.19506836, 0.08541148235, 0.008026260225, 0.8597061177, -0.1547881416, -1.401655568, -0.802203602, -0.5895529348, -0.6495534315, 1.972086582, 0.9325582214, -0.7063353088, 0.1505563171, 1.404609525, 0.06095652585, -0.07027289248, 1.614128412, -1.155863889, -1.281998406, 0.4217106123, -0.6421790055, -0.517392321, -1.059601137, 1.130585401, 2.262569401, 0.8229362616, 1.34115741, -0.2230072457, -0.519725973, 0.3908221541, 1.864214786, 0.9392623109, -0.8524588987, 2.521018937, -0.5590948567, -0.5068915209, 0.7858097298, 2.372399873, -0.7467816069, -0.9400752681, 1.913895536, -1.403688769, 0.08605017992, -1.230531845, 0.7097070103, 0.9210608467, -0.1776198995, 0.5190288016, 1.433889509, 0.7449568102, -0.7767778206, 0.2791101226, -0.4575929814, 0.1293499428, -0.8574057277, -0.3726580784, 1.100628757, -0.08447728998, 1.216061625, 1.139707117, -0.7371326315, 1.09011364, -0.4710950665, -0.4154580908, 0.4254053511, -0.6478201228, 1.665006821, -0.295301507, -0.5746674371, 1.788268205, 0.5014757845, 0.4325123803, -0.1037365738, -0.3846543497, -0.1160740461, -1.486904504, 0.6446571318, 0.2679769383, -0.3719497864, -0.9276413175, -0.9048395416, 1.686629025, -0.1322398267, 0.3620963451, -0.2791970415, 0.9892849839, 0.07008067891, -1.146924707, -0.8488877259, 0.1653236044, 0.6318655851, -2.195841813, 0.2772829294, 1.601767045, -1.949632046, 0.6549207364, -0.212411424, -0.2889356007]",-7751.271793951178,1.7294010377431852e-05,4000,313436,8276,0,False,max_iter_reached,5,3730,0,lbfgs_memory,100,1000
lbfgs,lbfgs_memory_quadratic,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.585557095, -0.8951589124, 1.1950689, 0.08541082523, 0.008026257297, 0.8597053786, -0.1547884062, -1.401654458, -0.8022042463, -0.5895522426, -0.6495528258, 1.972087486, 0.9325588093, -0.7063357693, 0.1505561591, 1.404609968, 0.06095579222, -0.07027369568, 1.614129472, -1.155863614, -1.281998501, 0.4217108255, -0.6421782776, -0.5173929884, -1.059601807, 1.130584775, 2.262568614, 0.822935332, 1.341156982, -0.223007142, -0.5197258801, 0.3908224588, 1.864215429, 0.939262625, -0.8524582294, 2.521019218, -0.5590959249, -0.5068913036, 0.7858099025, 2.372400415, -0.7467808983, -0.9400757868, 1.913894856, -1.403687149, 0.08604986109, -1.23053293, 0.7097060771, 0.9210605839, -0.177620133, 0.5190292909, 1.433889702, 0.7449561861, -0.776778412, 0.279110867, -0.4575932747, 0.1293506924, -0.8574056117, -0.3726575815, 1.100629251, -0.084476551, 1.21606172, 1.139707585, -0.7371322028, 1.090113381, -0.4710948586, -0.415458077, 0.425405769, -0.6478206506, 1.665006019, -0.2953006653, -0.5746661021, 1.788268494, 0.5014766946, 0.4325127796, -0.1037371315, -0.3846553274, -0.116073032, -1.486905399, 0.6446574714, 0.2679776232, -0.3719493818, -0.9276414637, -0.9048402461, 1.686628543, -0.1322380386, 0.3620958546, -0.2791977105, 0.9892846783, 0.0700808594, -1.146925603, -0.8488884146, 0.1653231512, 0.6318654289, -2.195842072, 0.2772832699, 1.601766765, -1.94963207, 0.6549197777, -0.2124106009, -0.2889362227]",-7751.271793951184,1.0821429548665807e-05,4000,307635,8266,0,False,max_iter_reached,10,3755,0,lbfgs_memory,100,1000
lbfgs,lbfgs_memory_quadratic,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.585557351, -0.8951595542, 1.195068638, 0.08541097556, 0.008025609358, 0.8597053858, -0.154788243, -1.401654275, -0.8022036208, -0.5895524983, -0.6495532027, 1.972087137, 0.9325590282, -0.7063349275, 0.1505565205, 1.404609592, 0.06095605399, -0.07027368648, 1.61412958, -1.155863617, -1.281999113, 0.4217102968, -0.6421783751, -0.5173931929, -1.059601101, 1.130585176, 2.262568912, 0.8229356435, 1.341157519, -0.2230073205, -0.5197261163, 0.3908225555, 1.864214597, 0.9392626544, -0.8524585421, 2.521019044, -0.5590952914, -0.5068912602, 0.7858097653, 2.372400802, -0.7467806913, -0.9400760851, 1.913894612, -1.403687362, 0.0860505588, -1.230532524, 0.709706547, 0.9210608149, -0.1776200509, 0.5190289516, 1.433889589, 0.7449566259, -0.7767780826, 0.2791107307, -0.4575932201, 0.1293509068, -0.8574054438, -0.3726573298, 1.100629151, -0.0844765806, 1.216061761, 1.139706992, -0.7371327754, 1.090113577, -0.4710953225, -0.4154579625, 0.4254055708, -0.6478200003, 1.66500581, -0.2953009654, -0.5746665996, 1.788268356, 0.5014760865, 0.4325127391, -0.1037366662, -0.3846547368, -0.1160735002, -1.486905479, 0.6446576363, 0.267977121, -0.3719495856, -0.9276420663, -0.9048398875, 1.686628121, -0.1322385441, 0.362096328, -0.279197342, 0.9892848477, 0.07008127033, -1.146925453, -0.8488887298, 0.1653241409, 0.6318651652, -2.195841806, 0.2772831848, 1.601766874, -1.949631889, 0.6549201198, -0.2124113952, -0.2889358384]",-7751.271793951182,1.1323901670511743e-05,4000,320003,8268,0,False,max_iter_reached,20,3770,0,lbfgs_memory,100,1000
